稼働年月日,容量,基盤,ジャンル,メーカー,タイトル,開発元,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1973-07-01,,-,,SEGA,ポントロン,,0,0,,,,,,,,
1973-11-01,,-,,SEGA,ポントロンII,,0,0,,,,,,,,
1973-11-01,,-,,SEGA,ホッケーTV,,0,0,,,,,,,,
1974-01-01,,-,,SEGA,テーブルホッケー,,0,0,,,,,,,,
1974-02-01,,-,,SEGA,ミニホッケー,,0,0,,,,,,,,
1974-08-01,,-,,SEGA,ゴールキック,フォープレイ,0,0,,,,,,,,
1974-08-01,,-,,SEGA,バルーンガン,,0,0,,,,西角友宏,今村善雄,,,
1975-01-01,,-,,SEGA,ダッキーシュート,,0,0,,,,,,,,
1975-01-01,,-,,SEGA,イレース,フォープレイ,0,0,,,,,,,,
1975-03-01,,-,,SEGA,ラストイニング,,0,0,,,,,,神尾龍,,
1975-10-01,,-,,SEGA,バレットマーク/バレットマークⅡ,,0,0,,,,,,,,
1976-01-01,,-,,SEGA,モトクロス,,0,0,,,,,,,,
1976-01-01,,-,,SEGA,トレーサー,,0,0,,,,,,,,
1976-02-01,,-,,SEGA,ロードレース,,0,0,,,,,,,,
1976-04-01,,-,,SEGA,スパークリングコーナー,,0,0,,,,,,,,
1976-08-01,,-,,SEGA,スコードロン,,0,0,,,,,,,,
1976-08-01,,-,,SEGA,マンT.T.（英語版）,,0,0,,,,,,,,
1976-08-01,,-,,SEGA,ロックンバーク,,0,0,,,,,,,,
1976-08-01,,-,,SEGA,ヘビーウェイトチャンプ,,0,0,,,,,,,,
1977-01-01,,-,,SEGA,コモーション,グレムリン,0,0,,,,,,,,
1977-01-01,,-,,SEGA,チックタッククイズ,,0,0,,,,,,,,
1977-01-01,,-,,SEGA,"ツインコース T.T.",,0,0,,,,,,,,
1977-02-01,,-,,SEGA,テーブル・ベースボール,,0,0,,,,,,,,
1977-03-01,,-,,SEGA,クラッシュ・コース,,0,0,,,,,,,,
1977-04-01,,-,,SEGA,ボンバー,,0,0,,,,,,,,
1977-11-01,,-,,SEGA,スーパーボウル,エキシディ,0,0,,,,,,,,
1977-12-01,,-,,SEGA,カーツン・ガン,,0,0,,,,,,,,
1978-01-01,,-,,SEGA,ブレイクオープン,,0,0,,,,,,,,
1978-01-01,,-,,SEGA,シークレットウォー,,0,0,,,,,,,,
1978-01-01,,-,,SEGA,コズミックウォー,,0,0,,,松岡伸浩|村田司朗|山根秀直,霜出健治|木下まり,前沢秀憲|上高治己,,,
1978-01-01,,-,,SEGA,ジグ・ザグ・ブロック,,0,0,,,,,,,,
1978-02-01,,-,,SEGA,シーソージャンプ,,0,0,,,,,,,,
1978-02-01,,-,,SEGA,ディプス・ボンブ,,0,0,,,,,,,,
1978-03-01,,-,,SEGA,ワールドカップ,,0,0,,,,,,,,
1978-03-01,,-,,SEGA,アマゾニアン,,0,0,,,,,,,,
1978-04-01,,-,,SEGA,ワイルドウッド,,0,0,,,,,ジョセフ・フィルブリック・ウェブスター,,,
1978-05-01,,-,,SEGA,シーソージャンプ・テーブルII,,0,0,,,,,,,,
1978-06-01,,-,,SEGA,スペースシップ,"シネマトロニクス（英語: Cinematronics）",0,0,,,,,,,,
1978-06-01,,-,,SEGA,トップランナー,,0,0,,,,,,,福田貴美子,
1978-06-01,,-,,SEGA,ギャラクシーウォー,,0,0,,,,,,,,
1978-08-01,,-,,SEGA,プロレーサー,,0,0,,,,,,,,
1978-08-01,,-,,SEGA,シークレットベース,,0,0,,,,,,,,
1978-08-01,,-,,SEGA,シグ・ザグ・ブロック,,0,0,,,,,,,,
1978-08-01,,-,,SEGA,プロレーサー,,0,0,,,,,,,,
1978-11-01,,-,,SEGA,フロッグス（英語版）,グレムリン,0,0,,,,,,,,
1978-12-01,,-,,SEGA,センカン・ヤマト,,0,0,,,,,,,,
1978-12-01,,-,,SEGA,スペースファイター,,0,0,,,西角友宏,西角友宏,亀井道行,,,
1978-12-01,,-,,SEGA,キャスリング,,0,0,,,,,,,,
1979-01-01,,-,,SEGA,スーパーブレイクオープン,,0,0,,,,,,,,
1979-01-01,,-,,SEGA,スペースインビンコ,,0,0,,,,,,,,
1979-01-01,,-,,SEGA,ファイアーワン,エキシディ,0,0,,,,,,,,
1979-01-01,,-,,SEGA,ダブルブロックT3,,0,0,,,,,,,,
1979-01-01,,-,,SEGA,スーパーブレイクオープン,,0,0,,,,,,,,
1979-02-01,,-,,SEGA,スペースアタック,,0,0,,,西角友宏,西角友宏,亀井道行,,,
1979-03-01,,-,,SEGA,スリーウェイ・ブロック,,0,0,,,,,,,,
1979-03-01,,-,,SEGA,フォートレス,グレムリン,0,0,,,,,,,"Michael ""Elvis"" Baskette",
1979-04-01,,デュアルボード,,SEGA,ヘッドオン,セガ・グレムリン,0,0,,,,,,,,
1979-06-01,,-,,SEGA,アップセットブロック,,0,0,,,,,,,,
1979-06-01,,-,,SEGA,トリプルアタック,,0,0,,,,,,,,
1979-08-01,,-,,SEGA,スターホーク（英語版）,シネマトロニクス,0,0,,,,,,,,
1979-09-01,,-,,SEGA,バスケットボール（英語版）,アタリ,0,0,,,,,,,,
1979-10-01,,デュアルボード,,SEGA,"ヘッドオン PartII",セガ・グレムリン,0,0,,,,,,,,
1979-11-01,,デュアルボード,,SEGA,インビンコ,セガ・グレムリン,0,0,,,,,,,,
1979-11-01,,-,,SEGA,モナコGP,,0,0,,,,,,,,
1979-12-01,,-,,SEGA,サンダンス,シネマトロニクス,0,0,,,,,,,,
1979-12-01,,-,,SEGA,テイルガンナー（英語版）,シネマトロニクス,0,0,,,,,,,,
1979-12-01,,-,,SEGA,ルナランダー（英語版）,アタリ,0,0,,,,,,,,
1980-01-01,,-,,SEGA,ディガー,セガ・グレムリン,0,0,,,,,,,,
1980-01-01,,-,,SEGA,アストロファイター（英語版）,データイースト,0,0,,,,,,,,
1980-01-01,,デュアルボード,,SEGA,カーハント,,0,0,,,,,,,,
1980-03-01,,デュアルボード,,SEGA,サムライ,,0,0,,,,,,,,
1980-03-01,,-,,SEGA,プロモナコGP,,0,0,,,,,,,,
1980-04-01,,-,,SEGA,アステロイド,アタリ,0,0,,,,,,,,
1980-04-01,,-,,SEGA,ターグ（英語版）,エキシディ,0,0,,,,,,,,
1980-05-01,,デュアルボード,,SEGA,ディープスキャン,,0,0,,,,,,,,
1980-06-01,,デュアルボード,,SEGA,カーニバル（英語版）,セガ・グレムリン,0,0,,,,,,,,
1980-06-01,,デュアルボード,,SEGA,スペーストレック,,0,0,,,,,,,,
1980-06-01,,デュアルボード,,SEGA,トランキライザーガン,セガ・グレムリン,0,0,,,,,,,,
1980-07-01,,-,,SEGA,ミサイルコマンド,アタリ,0,0,,,,,,,,
1980-10-01,,-,,SEGA,スペースタクティクス,,0,0,,,,,,,,
