発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1989-04-21,1,1,PZL,任天堂,アレイウェイ,"￥2,600","￥2,500代",0,,,,横井軍平,山本健誌,,,
1989-04-21,1,2,ACT,任天堂,スーパーマリオランド,"￥2,600","￥2,500代",419,,岡田智,山本雅央|原田貴裕,松岡洋史|真下雅彦,田中宏和,,横井軍平,
1989-04-21,1,2,SPT,任天堂,ベースボール,"￥2,600","￥2,500代",0,,,,,,,,
1989-04-21,1,1,TBL,任天堂,役満,"￥2,600","￥2,500代",128,,,,,,,,
1989-05-29,1,1,SPT,任天堂,テニス,"￥2,600","￥2,500代",0,,,,,,,,
1989-06-14,1,1,PZL,任天堂,テトリス,"￥2,600","￥2,500代",424,,,,,,,,
1989-07-28,1,1,PZL,HAL研究所,上海,"￥2,980","￥3,000代",0,,,,,,,,
1989-09-01,1,1,PZL,ポニーキャニオン,倉庫番,"￥3,090","￥3,000代",0,,,,今林宏行,,,,
1989-09-05,1,2,ACT,ケムコ,ミッキーマウス,"￥2,980","￥3,000代",0,,,,,,,,
1989-09-20,1,1,RAC,コナミ,モトクロスマニアックス,"￥2,900","￥3,000代",0,,,,,,,,
1989-09-21,1,1,ACT,バンダイ,ハイパーロードランナー,"￥2,800","￥3,000代",0,,,,,,,,
1989-10-18,1,2,TBL,HAL研究所,ピンボール66匹のワニ大行進,"￥2,980","￥3,000代",0,,,,,,,,
1989-10-27,1,2,ACT,コナミ,ドラキュラ伝説,"￥3,300","￥3,500代",0,,,山田善朗|前川正人,中里伸也|木村幸一,半沢紀雄|船内秀浩|福武茂,,,
1989-10-31,1,2,SPT,トンキンハウス,シーサイドバレー,"￥2,980","￥3,000代",0,,,,,,,,
1989-11-24,1,1,PZL,アトラス,パズルボーイ,"￥2,980","￥3,000代",0,,,,,増子司,,,
1989-11-28,1,3,SPT,任天堂,ゴルフ,"￥2,600","￥2,500代",0,,,,,,,,
1989-12-08,1,2,ETC,ココナッツジャパンエンターテイメント,パチンコタイム,"￥3,280","￥3,500代",0,,,,,,,,
1989-12-15,1,3,RPG,スクウェア,魔界塔士SaGa,"￥3,500","￥3,500代",110,,河津秋敏,おきたかし|岡部直樹,河津秋敏|時田貴司,植松伸夫,河津秋敏|石井浩一|伊藤裕之|時田貴司,,
1989-12-19,1,3,TBL,ポニーキャニオン,将棋,"￥3,400","￥3,500代",0,,,,,,,,
1989-12-22,1,1,PZL,セタ,Qビリオン,"￥2,980","￥3,000代",0,,,,,,,,
1989-12-22,1,2,SLG,ユース,海戦ゲームNAVYBLUE,"￥3,400","￥3,500代",0,,,,,,,,
