発売日,バックアップメモリ,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編1,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編2,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編3,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編4,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編5,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編6,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,1,2,RAC,任天堂,F-ZEROFORGAMEBOYADVANCE,"￥4,800","￥5,000代",0,,清水一伸,,清水一伸,"田島賢 |古川光照|石田尚人",,出石武宏|山上仁志,
2001-03-21,3,3,SPT,コナミ,JGTO公認GOLFMASTER～JAPANGOLFTOURGAME～,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,1,3,SLG,コナミ,Jリーグポケット,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,1,3,RAC,エム・ティー･オー,アドバンスGTA,"￥4,980","￥5,000代",0,,,,,,,,
2001-03-21,3,2,SLG,コーエー,ウイニングポストforゲームボーイアドバンス,"￥5,600","￥5,500代",0,,,,,タケカワユキヒデ|新井智詞|山崎洋一|楠瀬誠志郎|小西貴雄,,シブサワ・コウ,
2001-03-21,1,2,ACT,任天堂,くるくるくるりん,"￥4,800","￥5,000代",0,,,渡邊康成,小田部羊一,,,佐藤浩(任天堂)|豊嶋真人(エイティング),
2001-03-21,1,2,RAC,コナミ,コナミワイワイレーシングアドバンス,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,5,2,ACT,任天堂,スーパーマリオアドバンス,"￥4,800","￥5,000代",64,,,,,,,,
2001-03-21,3,2,ACT,セガ,チュ-チュ-ロケット！,"￥4,800","￥5,000代",0,,,,,,,,
2001-03-21,1,2,ETC,ケムコ,トゥイティーのハーティーパーティー,"￥4,980","￥5,000代",0,,,,,,,,
2001-03-21,1,3,SLG,任天堂,ナポレオン,"￥4,800","￥5,000代",0,,,,,,,,
2001-03-21,1,3,RPG,カプコン,バトルネットワークロックマンエグゼ,"￥4,800","￥5,000代",0,,,,,,,,
2001-03-21,1,3,SPT,コナミ,パワプロクンポケット3,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,1,2,ACT,ハドソン,ピノビィーの大冒険,"￥4,800","￥5,000代",0,,大島直人|菅野豊,,町田俊彦|菅野豊|大島直人|中川靖久|原田正道(アートディレクター),鎌谷千佳子,,石井洋児,
2001-03-21,3,3,SPT,スパイク,ファイヤープロレスリングA,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,1,3,NOV,コナミ,プレイノベルサイレントヒル,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,1,3,SLG,タム,ぼくは航空管制官,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,1,2,ACT,ナムコ,ミスタードリラー2,"￥4,800","￥5,000代",0,,,,,,,,
2001-03-21,1,3,RPG,コナミ,モンスターガーディアンズ,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,1,3,ACT,コナミ,悪魔城ドラキュラCircleoftheMoon,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,3,2,RAC,ケムコ,全国GT選手権,"￥5,200","￥5,000代",0,,,,,,,,
2001-03-21,1,2,ETC,ハドソン,桃太郎まつり,"￥5,200","￥5,000代",0,,さくまあきら(ゲーム監督)|富沢ひろみ(PS版),,土居孝幸,関口和之|宮路一昭|池毅(PS版のみ参加),,三上寛幸(PS版),
2001-03-21,1,2,SPT,アトラス,爆熱ドッジボールファイターズ,"￥4,980","￥5,000代",0,,,,,,,,
2001-03-21,3,3,SLG,コナミ,遊戯王ダンジョンダイスモンスターズ,"￥5,800","￥6,000代",0,,,,,,,,
2001-04-26,3,2,RPG,コナミ,GetBackers奪還屋～地獄のスカラムーシュ～,"￥5,800","￥6,000代",0,,,,,,,,
2001-04-26,1,3,SLG,コナミ,耽美夢想マイネリーベ,"￥5,800","￥6,000代",0,,佐々木美恵,,由貴香織里|由貴香織里,,,,
2001-04-27,1,2,PZL,ジョルダン,スペースヘキサイト～メーテル/レジェンドEX～,"￥5,300","￥5,500代",0,,,,,,,,
2001-04-27,1,3,ACT,エポック社,ドラえもん緑の惑星ドキドキ大救出！,"￥4,800","￥5,000代",0,,,,,,,,
2001-04-27,1,2,RPG,ハドソン,ボンバーマンストーリー,"￥5,200","￥5,000代",0,,藤原茂樹,,赤石龍彌|大久保則雄|水野祥司|佐藤梢,盛山浩一|竹間淳(バトルゲームメイン曲),,三上寛幸,
2001-05-25,5,2,ACT,カプコン,ファイナルファイトONE,"￥4,800","￥5,000代",0,,,,,,,,
2001-06-21,3,3,RPG,任天堂,タクティクスオウガ外伝TheKnightofLodis,"￥4,800","￥5,000代",0,,村澤祐一,,,岩田匡治|崎元仁,田中瑞枝,徳川誠,
2001-06-28,1,3,SHT,グローバル,トイロボフォース,"￥5,200","￥5,000代",0,,,,,,,,
2001-06-29,1,2,RAC,タカラ,チョロQアドバンス,"￥4,800","￥5,000代",0,,,,,,,,
2001-06-29,1,3,RPG,カプコン,優駿ラプソディ～♪,"￥4,800","￥5,000代",0,,,,,,,,
2001-07-05,1,3,CARD,コナミ,遊戯王デュエルモンスターズ5エキスパート1,"￥5,800","￥6,000代",0,,,,,,,,
2001-07-06,5,3,RPG,カプコン,ブレスオブファイア竜の戦士,"￥4,800","￥5,000代",0,,,金子清巳|こじまのりこ|三膳正,竹中善則|河野禎則|池原実|稲船敬二|松村ひろのり,藤田靖明|山口真理|藤井美苗|下村陽子,,,
2001-07-12,1,2,TAB,ハドソン,森田将棋あどばんす,"￥5,800","￥6,000代",0,,,,,,,,
2001-07-12,1,2,TAB,ハドソン,麻雀刑事,"￥5,200","￥5,000代",0,,,,,,,,
2001-07-13,1,2,TAB,タカラ,EXモノポリー,"￥5,800","￥6,000代",0,,,,,,,,
2001-07-13,5,3,ACT,カプコン,スーパーストリートファイター2XREVIVAL,"￥4,800","￥5,000代",0,,,,,,,,
2001-07-13,1,2,ADV,エム・ティー･オー,みんなの飼育シリーズ(1)ぼくのカブト虫,"￥5,200","￥5,000代",0,,,,,,,,
2001-07-19,5,2,ACT,ナムコ,風のクロノア～夢見る帝国～,"￥5,300","￥5,500代",0,,,,,,,,
2001-07-21,3,2,RAC,任天堂,マリオカートアドバンス,"￥4,800","￥5,000代",77,,安藤武森本幸雄,松本賢治,,西牧賢一松永政信濱野美奈子,,".mw-parser-output .plainlist--only-child>ol|.mw-parser-output .plainlist--only-child>ul{line-height:inherit;list-style:none none;margin:0;padding-left:0}.mw-parser-output .plainlist--only-child>ol li|.mw-parser-output .plainlist--only-child>ul li{margin-bottom:0}宮本茂三木研次",
2001-07-26,3,3,SPT,コナミ,JGTO公認GOLFMASTERモバイルJAPANGOLFTOURGAME,"￥5,800","￥6,000代",0,,,,,,,,
2001-07-26,1,3,SLG,コナミ,スタコミ,"￥5,800","￥6,000代",0,,,,,,,,
2001-07-26,3,3,SLG,コナミ,モバイルプロ野球監督の采配,"￥5,800","￥6,000代",0,,,,,,,,
2001-07-26,1,3,SPT,コナミ,筋肉番付金剛君の大冒険！,"￥5,800","￥6,000代",0,,,,,,,,
2001-07-27,3,2,RPG,メディアリング,ゼロ・ツアーズ,"￥5,480","￥5,500代",0,,,,,,,,
2001-08-01,3,3,RPG,任天堂,黄金の太陽開かれし封印,"￥4,800","￥5,000代",0,,,,,,,,
2001-08-03,1,3,RPG,アスミック・エース,ドカポンQモンスターハンター！,"￥4,800","￥5,000代",0,,,,,,,,
