発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2001-09-14,-,"￥7,000代",RCG,任天堂,"ウェーブレース ブルーストーム",,3771,0,,亀山雅之,,,荒木泰介,,宮本茂,
2001-09-14,-,"￥7,000代",ACT,任天堂,ルイージマンション,,3772,0,,紺野秀樹,,杉山直,戸高一生|田中しのぶ,,宮本茂|手塚卓志,
2001-09-14,-,"￥6,000代",ACT,セガ,スーパーモンキーボール,,3779,0,,,,,,,,
2001-10-26,-,"￥7,000代",ACT,任天堂,ピクミン,,3781,0,,日野重文|阿部将道,コリン・リード|神門有史,,若井淑,,宮本茂,
2001-11-15,-,"￥7,000代",SPT,エレクトロニック・アーツ,"FIFA2002 ロード トゥ FIFA ワールドカップ",サッカー,3773,0,,,,,,,,
2001-11-21,-,"￥7,000代",FTG,任天堂,大乱闘スマッシュブラザーズDX,,3782,0,,,,,,,,
2001-12-07,-,"￥7,000代",ACT,ケムコ,ユニバーサル・スタジオ・ジャパン・アドベンチャー,,3777,0,,,,,,,,
2001-12-14,-,"￥7,000代",SLG,任天堂,どうぶつの森+,,3778,0,,江口勝也|野上恒,,,戸高一生(サウンドディレクター)|永田権太(フィールドBGM)|峰岸透(インドアBGM)|田中しのぶ(イベントBGM),,手塚卓志,
2001-12-20,-,"￥7,000代",ACT,セガ,"ソニックアドベンチャー2 バトル",,3783,0,,"飯塚隆|上川祐司|Keith Palmer(助監督)",片野徹,上川祐司|星野一幸|上川祐司,瀬上純|床井健一|熊谷文恵|大谷智哉,前川司郎,中裕司,
2001-12-27,-,"￥6,000代",SPT,エレクトロニック･アーツ,SSXトリッキー,,3784,0,,,,,,,,
2002-01-31,-,"￥7,000代",SPT,コナミ,"ハイパースポーツ2002 ウインター",,3785,0,,,,,,,,
2002-02-14,-,"￥7,000代",SPT,セガ,"バーチャストライカー3 Ver.2002",サッカー,3786,0,,,,,,,,
2002-02-21,-,-,-,任天堂,動物番長,,3787,0,,,,,,,,
2002-03-14,-,-,-,コナミ,実況ワールドサッカー2002,,3876,0,,,,,,,,
2002-03-14,-,-,-,任天堂,巨人のドシン,,3812,0,,,ジャイルズ・ゴダード,飯田和敏|博林隆夫|岩崎ヒロミチ,浅野達彦|鈴木康行,,宮本茂|木研次,
2002-03-15,-,-,-,アクレイムジャパン,エクストリームG3,,3879,0,,,,,,,,
2002-03-20,-,-,-,コナミ,"グルーヴアドベンチャーレイヴ ファイティングライブ",,3877,0,,,,,,,,
2002-03-22,-,-,-,エレクトロニック･アーツ,NBAストリート,,3878,0,,,,,,,,
2002-03-22,-,-,-,エレクトロニック･アーツ,"スター・ウォーズ ローグ スコードロン2",,3831,0,,,,,,,,
2002-03-22,39,"￥7,000代",ACT,カプコン,バイオハザード,,3894,0,,,,,,,,
2002-03-29,-,-,-,コーエー,バトル封神,,3895,0,,,,,,,,
2002-03-29,-,-,-,任天堂,NBAコートサイド2002,,3896,0,,,,,,,,
2002-04-25,-,-,-,ハドソン,"ブラッディロア エクストリーム",,3897,0,,,,,,,,
2002-04-25,-,-,-,フロム・ソフトウェア,ルーン,,3788,0,,,,,,,,
2002-05-02,-,-,-,エレクトロニック・アーツ,"2002 FIFAワールドカップ",,3898,0,,,,,,,,
2002-05-30,-,-,-,セガ,クレイジータクシー,,3899,0,,,,,,,,
2002-06-27,-,-,-,ハドソン,"ボンバーマン ジェネレーション",,3900,0,,藤原茂樹(スーパーバイザー)|林田浩太郎,入江和宏(プログラムチーフ),原田修(ゲームデザインチーフ・ノーマルゲームデザイン)|渡辺達光(バトルゲームデザイン)|水野祥司(デザインディレクター)|奈良井梢(デザインアシスタントディレクター),西隆宏(サウンドチーフ・作曲)|坂東章平(作曲),,遠藤英俊|宮路洋一,
2002-07-04,-,-,-,カプコン,"カプコン VS SNK 2 EO ミリオネアファイティング2001",,3901,0,,,,,,,大野木宜幸|小尾一介,
2002-07-18,-,-,-,コナミ,ディズニースポーツ：サッカー,,3902,0,,,,,,,,
2002-07-18,34,"￥7,000代",SPT,コナミ,実況パワフルプロ野球9,野球,3903,0,,,,,,,,
2002-07-19,-,-,-,セガ,ビーチスパイカーズ,,3904,0,,,,,,,,
2002-07-19,-,-,-,トミー,ムツとのほほん,,3828,0,,,,,,,,
2002-07-19,37,"￥7,000代",ACT,任天堂,スーパーマリオサンシャイン,,3905,0,,小泉歓晃|臼井健太,林田宏一,,"近藤浩治[注 1]|田中しのぶ",,宮本茂|手塚卓志,
2002-07-26,-,-,-,ESP,神機世界エヴォルシア,,3789,0,,,,,,,,
2002-08-01,-,-,-,ハドソン,ディズニーのマジカルパーク,,3906,0,,,,,,,,
2002-08-08,-,-,-,アクレイムジャパン,オールスターベースボール2003,,3907,0,,,,,,,,
2002-08-09,-,-,-,アテナ,"極・麻雀DX2 The 4th MONDO21Cup Competition",,3844,0,,,,,,,,
2002-08-09,-,-,-,任天堂,ミッキーマウスの不思議な鏡,,3829,0,,,,,,,,
2002-08-29,-,-,-,コナミ,"WTA ツアーテニス プロエボリューション",,3908,0,,,,,,,,
2002-09-05,-,-,-,カプコン,"アルティメット ファイティング チャンピオンシップ2 タップアウト ファイナルスペック",,3909,0,,,,,,,,
2002-09-06,-,-,-,トミー,ゾイドバーサス,,3915,0,,,,,,,,
2002-09-06,-,-,-,ユークス,レッスルマニアX8,,3910,0,,,,,,,,
2002-09-12,-,-,-,セガ,エイティーン・ホイーラー,,3911,0,,,,,,,,
2002-09-12,35,"￥7,000代",RPG,セガ,"ファンタシースターオンライン エピソード1＆2",,3790,0,,,,,,,,
2002-09-12,-,-,-,コナミ,"キャプテン翼 黄金世代の挑戦",,3813,0,,,,,,,,
2002-09-19,-,-,-,コナミ,ディズニースポーツ：スケートボーディング,,3912,0,,,,,,,,
2002-09-26,-,-,-,セガ,"セガ サッカースラム",,3913,0,,,,,,,,
2002-09-26,-,-,-,コナミ,永世名人6,,3845,0,,,,,,,,
2002-09-27,-,-,-,コトブキシステム,"エッグマニア つかんで!まわして!どっすんぱずる!",,3846,0,,,,,,,,
2002-09-27,-,-,-,任天堂,"スターフォックス アドベンチャー",,3914,0,,,,,,,,
2002-10-25,-,-,-,アクレイムジャパン,ズーキューブ,,3847,0,,,,,,,,
2002-10-25,-,-,-,メディアカイト,プールエッジ,,4047,0,,,,,,,,
2002-10-25,-,-,-,任天堂,"エターナルダークネス 招かれた13人",,3916,0,,,,,,,,
2002-11-01,-,-,-,バンダイ,"テレビアニメ ワンピース トレジャーバトル!",,3917,0,,,,,,,,
2002-11-08,-,-,-,任天堂,マリオパーティ4,,3848,0,,,,,,,,
2002-11-21,38,"￥7,000代",ACT,カプコン,バイオハザード0,,3918,0,,小田晃嗣,,,小渕世子,,三並達也,
2002-11-21,-,-,-,コナミ,"マッスルちゃんぴよん 筋肉島の決戦",,3919,0,,,,,,,,
2002-11-21,-,-,-,セガ,スーパーモンキーボール2,,3920,0,,,,,,,,
2002-11-22,-,-,-,バンダイ,"キン肉マン2世 新世代超人 vs 伝説超人",,3921,0,,小村敏明,,佐藤正樹,渡部チェル,ゆでたまご,,
2002-11-23,-,-,-,エレクトロニック・アーツ,ハリー・ポッターと秘密の部屋,,3922,0,,,,,,,,
2002-11-28,-,-,-,アイドスインタラクティブ,わいわいゴルフ,,3923,0,,,,,,,,
2002-12-05,-,-,-,コナミ,"遊戯王 フォルスバウンドキングダム 虚構に閉ざされた王国",,3814,0,,,,,,,,
2002-12-05,-,-,-,ハドソン,"桃太郎電鉄11 ブラックボンビー出現!の巻",,3849,0,,さくまあきら(ゲーム監督)|川田忠之(ディレクター),田中俊介|江崎諭|二宮友和|藤本琢也|大西弘海|鈴木光行,柴尾英令(ゲーム演出)|土居孝幸(キャラクターデザイン)|佐藤裕(アートディレクター),関口和之|池毅|宮路一昭,,,
2002-12-06,-,-,-,エレクトロニック・アーツ,"FIFA2003 ヨーロッパサッカー",,3924,0,,,,,,,,
2002-12-12,-,-,-,アタリ,"ゴジラ 怪獣大乱闘",,3925,0,,,,,,,,
2002-12-12,-,-,-,コナミ,"エボリューション スケートボーディング",,3926,0,,,,,,,,
2002-12-12,-,-,-,コナミ,ディズニースポーツ：アメリカンフットボール,,3927,0,,,,,,,,
2002-12-13,40,"￥7,000代",ACT,任天堂,"ゼルダの伝説 風のタクト",,3928,0,,青沼英二,岩脇敏夫|森田和明,春花良紀|滝澤智|有本正直,永田権太|若井淑|峰岸透|近藤浩治,,宮本茂|手塚卓志,
2002-12-19,-,-,-,コナミ,ディズニースポーツ：バスケットボール,,3929,0,,,,,,,,
2002-12-19,-,-,-,コナミ,"実況パワフルプロ野球9 決定版",,3930,0,,,,,,,,
2002-12-19,-,-,-,セガ,"ソニック メガコレクション",,3931,0,,,,,,,,
2002-12-19,-,-,-,タカラ,チョロQ!,,3880,0,,,,,,,,
2002-12-19,-,-,-,タカラ,"爆転シュート ベイブレード2002 熱闘!マグネタッグバトル!",,3850,0,,,,第1期:梅原隆弘|朴起徳|第2期:長森佳容|鄭雨英|方承辰|第3期:長森佳容|方承辰|第1期:やまだたかひろ|第2期・第3期:木村豪,第1期:平野義久|第2期:TOSS|TURN|第3期:高梨康治,青木たかお,,
2002-12-19,-,-,-,ハドソン,ボンバーマンジェッターズ,,3932,0,,,,水野祥司(原案)|香川久|常木志伸,丸山和範,前川淳|吉田玲子|まさきひろ,,
2002-12-20,-,-,-,サクセス,テトリスワールド,,3851,0,,,,,,,,
2002-12-20,-,-,-,ナムコ,"ミスタードリラー ドリルランド",,3852,0,,,,,,,,
2002-12-26,-,-,-,セガ,"エターナルアルカディア レジェンド",,3791,0,,,,,,,,
2002-12-26,-,-,-,タイタスジャパン,"トップガン エース オブ ザ スカイ",,4048,0,,,,,,,,
2003-01-09,-,-,-,タイトー,スペースレイダース,,3832,0,,,,,,,,
2003-01-16,-,-,-,アタリ,"斑鳩 IKARUGA",,3833,0,,,,,,,,
2003-01-23,-,-,-,カプコン,バイオハザード2,,3933,0,,,,,,,,
2003-01-23,-,-,-,カプコン,"バイオハザード3 ラストエスケープ",,3934,0,,,,,,,,
2003-01-30,-,-,-,コナミ,"ワールドサッカー ウイニングイレブン6 ファイナルエヴォリューション",,3935,0,,,,,,,,
2003-02-06,-,-,-,アイディアファクトリー,"ジェネレーション・オブ・カオス イクシード 闇の皇女ロゼ",,3792,0,,,,,,,,
2003-02-07,-,-,-,任天堂,ニンテンドーパズルコレクション,,3853,0,,,,,,,,
2003-02-13,-,-,-,カプコン,スパイダーマン,,3936,0,,,,,,,,
2003-02-14,-,-,-,エレクトロニック・アーツ,"ロード・オブ・ザ・リング 二つの塔",,3793,0,,,,,ハワード・ショア,J・R・R・トールキン,,
2003-02-27,-,-,-,タイトー,"スーパーパズルボブル オールスターズ",,3854,0,,,,,,,,
2003-02-28,-,-,-,任天堂,メトロイドプライム,,3937,0,,"Mark Pacini",,,山本健誌|久馬浩一,,宮本茂|三木研次,
2003-03-06,-,-,-,カプコン,"ロックマンエグゼ トランスミッション",,3938,0,,,,,,,,
2003-03-06,-,-,-,グローバル・A・エンタテインメント,"零ファイター 撃墜戦記",,3834,0,,,,,,,,
2003-03-20,-,-,-,エレクトロニック・アーツ,"スター・ウォーズ クローン戦争",,3835,0,,,,,,,,
2003-03-20,-,-,-,コナミ,"ザ・ベースボール2003 バトルボールパーク宣言 パーフェクトプレープロ野球",,3939,0,,,,,,,,
2003-03-20,-,-,-,コナミ,ヒカルの碁3,,3855,0,,,,,,,,
2003-03-21,-,-,-,コトブキシステム,"バットマン ダークトゥモロー",,3940,0,,,,,,,,
2003-03-27,-,-,-,タイトー,"ウォーリアーブレイド ラスタン vs バーバリアン編",,3941,0,,海道賢仁,,海道賢仁|藤田允|菊池正美|石井英貴|加藤正博|五十嵐恒三,高木正彦,,,
2003-03-27,-,-,-,カプコン,P.N.03,,3942,0,,,,,,,,
2003-03-27,-,-,-,ナムコ,ソウルキャリバー2,,3943,0,,,,,,,,
2003-03-28,-,-,-,バンダイ,"シャーマンキング ソウルファイト",,3815,0,,,,高見明男|佐野聡彦,林ゆうき,武井宏之,,
2003-04-10,-,-,-,アスミック・エース,"ドカポンDX わたる世界はオニだらけ",,3944,0,,,,,,,,
2003-04-11,-,-,-,トミー,"ナルト 激闘忍者大戦!",,3945,0,,,,,,,,
2003-04-24,-,-,-,ピンチェンジ,"四国巡礼体験ゲーム お遍路さん 発心の道場阿波国編",,3816,0,,,,,,,,
2003-04-25,-,-,-,任天堂,ギフトピア,,3794,0,,,,,,,,
2003-05-01,-,-,-,タカラ,スペシャル人生ゲーム,,3856,0,,,,,,,,
2003-05-23,-,-,-,フロム・ソフトウェア,"ルーン2 コルテンの鍵の秘密",,3795,0,,,,,,,,
2003-05-30,-,-,-,ナムコ,ファミリースタジアム2003,,3946,0,,,,,,,,
2003-05-30,-,-,-,ポケモン,"ポケモンボックス ルビー＆サファイア",,3857,0,,,,,,,,
2003-06-05,-,-,-,コナミ,フロッガー,,3947,0,,,,,,,,
2003-06-19,-,-,-,MTO,"魔法のパンプキン アンとグレッグの大冒険",,3948,0,,,,,,,,
2003-06-19,-,-,-,セガ,"ソニックアドベンチャー デラックス",,3949,0,,飯塚隆,片野徹,飯塚隆|見吉隆夫|小川陽二郎|星野一幸|上川祐司(「ソニック・ザ・ヘッジホッグ」のリニューアル(モダンソニック)キャラクターデザイン担当など)|川村幸子,瀬上純|床井健一|熊谷文恵,西山彰則,中裕司,
2003-06-19,-,-,-,バンダイ,"エンター ザ マトリックス",,3950,0,,,,,,,,
2003-06-20,-,-,-,MTO,"GT CUBE",,3881,0,,,,,,,,
2003-06-26,-,-,-,カプコン,"ビューティフル ジョー",,3951,0,,太田潤一,,"スエカネクミコ|小手川宗行| 金原忍|大橋幸子|長野伸明","五木田岳彦| 林祐介|小林克良(音響監督)",カプコン,稲葉敦志,
2003-06-27,-,-,-,サクセス,"トニー・ホーク プロスケーター3",,3952,0,,,,,,,,
2003-06-27,-,-,-,任天堂,どうぶつの森e+,,3817,0,,江口勝也|野上恒,,,戸高一生(サウンドディレクター)|峰岸透|永田権太,,手塚卓志,
2003-07-03,-,-,-,カプコン,"アウトモデリスタ U.S.-tuned",,3882,0,,,,,,,,
2003-07-10,-,-,-,インフォグラムジャパン,Vラリー3,,3883,0,,,,,,,,
2003-07-10,-,-,-,ハドソン,"ハドソンセレクション Vol.1 キュービックロードランナー",,3953,0,,,,,,,,
2003-07-10,-,-,-,ハドソン,"ハドソンセレクション Vol.2 スターソルジャー",,3836,0,,,,,,,,
2003-07-11,-,-,-,バンダイ,ケロケロキングDX,,3954,0,,,,,,,,
2003-07-11,-,-,-,任天堂,カービィのエアライド,,3955,0,,桜井政博,渡辺浩一,北健一郎,安藤浩和|酒井省吾|池上正|石川淳,,菅浩秋|谷村正仁|宮本茂,
