発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,クロスレビュー(評価),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1987-10-30,PCE,2M,ACT,ハドソン,ビックリマンワールド(Vol.2),"￥4,500","￥4,500代",0,-,,,,,,,,
1987-10-30,PCE,1M,PUZ,ハドソン,上海(Vol.4),"￥4,500","￥4,500代",0,-,,,,,,,,
1987-11-21,PCE,2M,ACT,ハドソン,THE功夫(Vol.1),"￥4,500","￥4,500代",0,-,,,,,,,,
1987-11-30,PCE,2M,ACT,ハドソン,カトちゃんケンちゃん(Vol.6),"￥4,900","￥5,000代",0,-,,,,,,,,
1987-12-28,PCE,2M,RAC,ハドソン,ビクトリーラン(Vol.3),"￥4,500","￥4,500代",0,-,,,,,,,,
1988-01-22,PCE,2M,RPG,ハドソン,邪聖剣ネクロマンサー(Vol.5),"￥4,500","￥4,500代",0,-,,,,,,,,
1988-02-05,PCE,2M,ACT,ナムコ,妖怪道中記,"￥4,900","￥5,000代",0,-,,,デビル中村,水野一実|ナナチャン大石|木元昌洋|小森谷勇一郎|サラバジャ南|ホルスタイン安斎|カータン榊原,川田宏行,,,
1988-03-25,PCE,2M,SHT,ハドソン,R-TYPEI(Vol.7),"￥4,900","￥5,000代",0,35,,,,,,,,
1988-04-22,PCE,2M,ETC,ハドソン,遊々人生(Vol.8),"￥4,500","￥4,500代",0,-,,,,,,,,
1988-05-20,PCE,2M,SPT,ナムコ,プロ野球ワールドスタジアム,"￥4,900","￥5,000代",0,35,,,天内潤,,川元義徳,,,
1988-06-03,PCE,2M,SHT,ハドソン,R-TYPEII(Vol.9),"￥4,900","￥5,000代",0,35,,,,,,,,
1988-07-08,PCE,2M,ETC,ハドソン,戦国麻雀(Vol.10),"￥4,900","￥5,000代",0,-,,,,,,,,
1988-07-15,PCE,2M,SHT,ナムコ,ギャラガ'88,"￥4,900","￥5,000代",0,-,,,,,川田宏行,,,
1988-07-24,PCE,2M,SPT,ハドソン,パワーリーグ(Vol.11),"￥4,900","￥5,000代",0,31,,,,,,,,
1988-08-11,PCE,2M,SPT,ナムコ,プロテニスワールドコート,"￥4,900","￥5,000代",0,33,,,,,慶野由利子,,,
1988-08-30,PCE,2M,ACT,ハドソン,魔神英雄伝ワタル(Vol.12),"￥4,900","￥5,000代",0,-,,,,,,,,
1988-09-14,PCE,2M,ETC,ナグザット,エイリアンクラッシュ,"￥5,500","￥5,500代",0,33,,,,,迫田敏明[要出典],,,
1988-09-23,PCE,2M,SLG,メサイヤ,ガイアの紋章,"￥5,200","￥5,000代",0,-,,,,,,,,
1988-09-23,PCE,2M,ACT,ビクター音楽産業,魔境伝説(Vol.1),"￥5,200","￥5,000代",0,-,,,,,,,,
1988-10-14,PCE,2M,SHT,NECアベニュー,ファンタジーゾーン,"￥5,900","￥6,000代",0,-,,石井洋児,片木秀一,石井洋児|近藤正樹,川口博史,,,
1988-11-18,PCE,2M,ADV,ハドソン,定吉七番(Vol.14),"￥4,900","￥5,000代",0,-,,,,,,,,
1988-12-04,PCE,2M,SYS,NEC-HE/ハドソン,CD-ROM2SYSTEMVer1.0,"￥57,300","￥57,500代",0,-,,,,,,,,
1988-12-04,PCE,2M,SYS,NEC-HE/ハドソン,CD-ROM2SYSTEMVer2.0,"￥57,300","￥57,500代",0,-,,,,,,,,
