発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,価格帯,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1996-06-30,2,1,ACT,任天堂,スーパーマリオ64,"￥9,800","￥10,000代",192,,宮本茂,"西田泰也|谷本義典|矢嶋肇|岩本大貴|岩脇敏夫|河越巧|Giles Goddard",中野祐輔|日野重文|小泉歓晃|滝澤智|有本正直,近藤浩治,,宮本茂,
1996-06-30,2,1,SLG,任天堂,パイロットウィングス64,"￥9,800","￥10,000代",14,,,,,,,,
1996-06-30,1,1,TAB,セタ,最強羽生将棋,"￥9,800","￥10,000代",0,,,,,,,,
1996-09-27,3,1,SPT,任天堂,ウェーブレース64,"￥9,800","￥10,000代",15,,亀山雅之,,,荒木泰介,,宮本茂,
1996-11-22,1,1,ADV,エニックス,ワンダープロジェクトJ2コルロの森のジョゼット,"￥9,800","￥10,000代",0,,,,,,,,
1996-11-29,1,1,SPT,セタ,栄光のセントアンドリュース,"￥9,800","￥10,000代",0,,,,,,,,
1996-12-14,2,2,RAC,任天堂,マリオカート64,"￥9,800","￥10,000代",224,,紺野秀樹,,,永田権太,,宮本茂,
1996-12-20,1,1,SPT,コナミ,実況Jリーグパーフェクトストライカー,"￥9,800","￥10,000代",11,,,,,,,,
1996-12-20,1,1,SPT,イマジニア,超空間ナイタープロ野球キング,"￥9,980","￥10,000代",10,,,,,,,,
1996-12-20,1,1,TAB,コナミ,麻雀MASTERマージャン,"￥9,800","￥10,000代",0,,,,,,,,
1997-03-14,1,2,SPT,コナミ,実況パワフルプロ野球4,"￥8,900","￥9,000代",18,,,,,,,,
1997-03-21,2,1,ACT,エポック社,ドラえもんのび太と3つの精霊石,"￥7,980","￥8,000代",0,,,,,,,,
1997-03-21,3,1,ACT,任天堂,ブラストドーザー,"￥6,800","￥7,000代",0,,,,,,,,
1997-03-28,1,1,SPT,エレクトロニック・アーツ・ビクター,JリーグLIVE64,"￥9,800","￥10,000代",0,,,,,,,,
1997-03-28,0,1,SPT,ヒューマン,ヒューマングランプリザ・ニュージェネレーション,"￥9,800","￥10,000代",0,,,,,,,,
1997-04-04,1,1,TAB,光栄,麻雀64,"￥7,800","￥8,000代",0,,,,,,,,
1997-04-27,2,2,SHT,任天堂,スターフォックス64,"￥8,700","￥8,500代",57,,清水隆雄,森田和明,今村孝矢,近藤浩治|若井淑,高野充浩,宮本茂,
1997-05-30,1,1,ACT,アクレイムジャパン,時空戦士テュロック,"￥7,800","￥8,000代",0,,,ロバート・コーエン,デヴィッド・ディーンストビール|アラン・D・ジョンソン|ドン・パーリン(英語版),ダレン・ミッチェル,ジェフ・ゴメス(英語版)|ボブ・レイトン(英語版),デヴィッド・ディーンストビール,
1997-06-14,2,2,ACT,任天堂,スターウォーズ帝国の影,"￥7,800","￥8,000代",0,,,,,,,,
1997-06-27,2,1,ACT,エニックス,ゆけゆけ!!トラブルメーカーズ,"￥8,900","￥9,000代",0,,,,,,,,
1997-07-18,3,1,SPT,任天堂,ウェーブレース64振動パック対応バージョン,"￥6,800","￥7,000代",0,,,,,,,,
1997-07-18,2,1,ACT,任天堂,スーパーマリオ64振動パック対応バージョン,"￥6,800","￥7,000代",0,,宮本茂,"西田泰也|谷本義典|矢嶋肇|岩本大貴|岩脇敏夫|河越巧|Giles Goddard",中野祐輔|日野重文|小泉歓晃|滝澤智|有本正直,近藤浩治,,宮本茂,
1997-07-18,1,2,RAC,イマジニア,マルチレーシングチャンピオンシップ,"￥7,900","￥8,000代",0,,,,,,,,
1997-07-25,1,1,TAB,ビデオシステム,雀豪シミュレーション麻雀道64,"￥6,980","￥7,000代",0,,,,,,,,
1997-08-01,1,1,ACT,ゲームバンク,DOOM64,"￥7,800","￥8,000代",0,,,"Aaron Seeler","Randy EstrellaTimothy Heydelaarダニー・ルイス|Sukru Gilman",オーブリー・ホッジズ,,,
1997-08-01,0,2,TAB,イマジニア,麻雀放浪記CLASSIC,"￥7,900","￥8,000代",0,,,,,,,,
1997-08-07,1,3,ACT,コナミ,がんばれゴエモン～ネオ桃山幕府のおどり～,"￥8,900","￥9,000代",14,,,,,,,,
1997-08-08,1,1,SPT,ハドソン,パワーリーグ64,"￥6,980","￥7,000代",0,,,,,,,,
1997-08-23,2,2,ACT,任天堂,ゴールデン・アイ007,"￥6,800","￥7,000代",0,,,,,,,,
1997-09-05,1,1,SPT,イマジニア,Jリーグダイナマイトサッカー64,"￥7,500","￥7,500代",0,,,,,,,,
1997-09-18,1,1,SPT,コナミ,実況ワールドサッカー3,"￥7,500","￥7,500代",0,,,,,,,,
1997-09-26,3,1,ACT,ハドソン,爆ボンバーマン,"￥6,980","￥7,000代",17,,奥野仁,杉本悟|小林勲,印南好司|水野祥司|関島俊文|佐藤裕|芳賀覚,多田彰文,,中本伸一|遠藤英俊,
1997-10-24,1,1,SPT,ハドソン,Jリーグイレブンビート1997,"￥6,980","￥7,000代",0,,,,,,,,
1997-10-31,2,1,PUZ,コンパイル,ぷよぷよSUN64,"￥5,980","￥6,000代",0,,,,,,,,
1997-11-21,3,2,RAC,任天堂,ディディーコングレーシング,"￥6,800","￥7,000代",65,,,,,,,,
1997-11-21,1,1,TAB,アテナ,プロ麻雀極64,"￥6,800","￥7,000代",0,,,,,,,,
1997-11-28,3,3,SPT,ボトムアップ,64大相撲,"￥7,980","￥8,000代",0,,,,,,,,
1997-11-28,2,1,TAB,アムテックス/ショウエイシステム,HEIWAパチンコワールド64,"￥7,900","￥8,000代",0,,,,,,,,
1997-11-28,1,2,SPT,ナムコ,ファミスタ64,"￥6,800","￥7,000代",0,,,,,,,,
1997-11-28,2,1,SHT,セタ,ワイルドチョッパーズ,"￥6,980","￥7,000代",0,,,,,,,,
1997-12-05,3,1,RAC,コトブキシステム,TOPGEARRALLY,"￥6,980","￥7,000代",0,,,,,,,,
1997-12-05,1,2,ACT,ハドソン,デュアルヒーローズ,"￥6,980","￥7,000代",0,,,,,,,,
1997-12-12,2,2,ACT,日本システムサプライ,カメレオン・ツイスト,"￥6,980","￥7,000代",0,,,,,,,,
1997-12-12,1,1,RAC,アトラス,スノボキッズ,"￥6,800","￥7,000代",0,,,,,,,,
1997-12-18,1,2,SPT,コナミ,ハイパーオリンピックインナガノ64,"￥6,800","￥7,000代",0,,,,,,,,
1997-12-18,1,1,ACT,ゲームバンク,ヘクセン,"￥6,800","￥7,000代",0,,,,,,,,
1997-12-18,1,2,ACT,カルチャーブレーン,飛龍の拳ツイン,"￥6,980","￥7,000代",0,,,,,,,,
1997-12-19,3,2,TAB,バンダイ,64で発見!たまごっちみんなでたまごっちワールド,"￥6,800","￥7,000代",0,,,,,,,,
1997-12-19,2,1,ACT,ハドソン,ウッチャンナンチャンの炎のチャレンジャーウルトラ電流イライラ棒,"￥5,980","￥6,000代",0,,,,,,,,
1997-12-19,3,1,RAC,アスキー,エアロゲイジ,"￥7,800","￥8,000代",0,,,,,,,,
