発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1987-10-30,-,2,ACT,ハドソン,ビックリマンワールド(Vol.2),"￥4,500","￥4,500代",0,1,,,,,,,,
1987-10-30,-,1,PUZ,ハドソン,上海(Vol.4),"￥4,500","￥4,500代",0,1,,,,,,,,
1987-11-21,-,2,ACT,ハドソン,THE功夫(Vol.1),"￥4,500","￥4,500代",0,1,,,,,,,,
1987-11-30,-,2,ACT,ハドソン,カトちゃんケンちゃん(Vol.6),"￥4,900","￥5,000代",0,1,,,,,,,,
1987-12-28,-,2,RAC,ハドソン,ビクトリーラン(Vol.3),"￥4,500","￥4,500代",0,1,,,,,,,,
1988-01-22,-,2,RPG,ハドソン,邪聖剣ネクロマンサー(Vol.5),"￥4,500","￥4,500代",0,1,,,,,,,,
1988-02-05,-,2,ACT,ナムコ,妖怪道中記,"￥4,900","￥5,000代",0,1,,,デビル中村,水野一実|ナナチャン大石|木元昌洋|小森谷勇一郎|サラバジャ南|ホルスタイン安斎|カータン榊原,川田宏行,,,
1988-03-25,35,2,SHT,ハドソン,R-TYPEI(Vol.7),"￥4,900","￥5,000代",0,1,,,,,,,,
1988-04-22,-,2,ETC,ハドソン,遊々人生(Vol.8),"￥4,500","￥4,500代",0,1,,,,,,,,
1988-05-20,35,2,SPT,ナムコ,プロ野球ワールドスタジアム,"￥4,900","￥5,000代",0,1,,,天内潤,,川元義徳,,,
1988-06-03,35,2,SHT,ハドソン,R-TYPEII(Vol.9),"￥4,900","￥5,000代",0,1,,,,,,,,
1988-07-08,-,2,ETC,ハドソン,戦国麻雀(Vol.10),"￥4,900","￥5,000代",0,1,,,,,,,,
1988-07-15,-,2,SHT,ナムコ,ギャラガ'88,"￥4,900","￥5,000代",0,1,,,,,川田宏行,,,
1988-07-24,31,2,SPT,ハドソン,パワーリーグ(Vol.11),"￥4,900","￥5,000代",0,1,,,,,,,,
1988-08-11,33,2,SPT,ナムコ,プロテニスワールドコート,"￥4,900","￥5,000代",0,1,,,,,慶野由利子,,,
1988-08-30,-,2,ACT,ハドソン,魔神英雄伝ワタル(Vol.12),"￥4,900","￥5,000代",0,1,,,,,,,,
1988-09-14,33,2,ETC,ナグザット,エイリアンクラッシュ,"￥5,500","￥5,500代",0,1,,,,,迫田敏明[要出典],,,
1988-09-23,-,2,SLG,メサイヤ,ガイアの紋章,"￥5,200","￥5,000代",0,1,,,,,,,,
1988-09-23,-,2,ACT,ビクター音楽産業,魔境伝説(Vol.1),"￥5,200","￥5,000代",0,1,,,,,,,,
1988-10-14,-,2,SHT,NECアベニュー,ファンタジーゾーン,"￥5,900","￥6,000代",0,1,,石井洋児,片木秀一,石井洋児|近藤正樹,川口博史,,,
1988-11-18,-,2,ADV,ハドソン,定吉七番(Vol.14),"￥4,900","￥5,000代",0,1,,,,,,,,
1988-12-04,-,2,SYS,NEC-HE/ハドソン,CD-ROM2SYSTEMVer1.0,"￥57,300","￥57,500代",0,1,,,,,,,,
1988-12-04,-,2,SYS,NEC-HE/ハドソン,CD-ROM2SYSTEMVer2.0,"￥57,300","￥57,500代",0,1,,,,,,,,
1988-12-09,-,4,SHT,NECアベニュー,スペースハリアー,"￥6,700","￥6,500代",0,1,,藤井睦弘(セガ・マークIII),三船敏(アーケード)|川竹英士(アーケード)|中裕司(セガ・マークIII),鈴木裕(アーケード)|麻生宏(アーケード)|津田知介(アーケード)|永田英朗(アーケード)|貞森康毅(セガ・マークIII),川口博史(アーケード)|鈴木裕(アーケード)|上保徳彦(セガ・マークIII),中裕司(セガ・マークIII)|藤井睦弘(セガ・マークIII)|百田浩司(セガ・マークIII),金成貫(アーケード)|中裕司(セガ・マークIII),
1988-12-16,32,2,SHT,ナムコ,ドラゴンスピリット,"￥5,500","￥5,500代",0,1,,"YOKO BOSS",田中京太,"OJISAN TRIO PLUS 1|石川達也|MACCHAN|ARAKAWA DA!",細江慎治,,,
1988-12-22,-,2,SPT,ハドソン,あっぱれゲートボール(Vol.13),"￥4,900","￥5,000代",0,1,,,,,,,,
1989-01-14,30,3,ACT,アイレム,ビジランテ(Vol.1),"￥6,300","￥6,500代",0,1,,,,,,,,
1989-01-27,-,2,ACT,NECアベニュー,ソンソンII,"￥5,400","￥5,500代",0,1,,,,,,,,
1989-02-09,31,3,SLG,ハドソン,ネクタリス(Vol.16),"￥5,800","￥6,000代",0,1,,,,,,,,
1989-02-23,-,2,RAC,メサイヤ,モトローダー,"￥5,200","￥5,000代",0,1,,,M.IWASHITA,大張正己,ガブリンサウンド,,白倉安昌,
1989-03-01,30,2,SHT,フェイス,はにい･いんざ･すかい,"￥5,200","￥5,000代",0,1,,,こうもりだんしゃく|ながさわみきや,熊倉賢一|ばばあつし|おのでらこうじ,岩永敦子,,三金堂,
1989-03-03,-,2,SPT,データイースト,ウイニングショット,"￥5,500","￥5,500代",0,1,,,,,,,,
1989-03-04,-,3,A-PRG,ハドソン,ダンジョンエクスプローラ(Vol.15),"￥5,800","￥6,000代",0,1,,,,,,,,
1989-03-17,-,2,RPG,サンソフト,アウトライブ,"￥5,600","￥5,500代",0,1,,,,,,,,
1989-03-18,-,2,ACT,メサイヤ,改造町人シュビビンマン,"￥5,200","￥5,000代",0,1,,白倉安昌,,うらべ・すう,ガブリンサウンド,,土田俊郎,
1989-03-20,-,2,SHT,エイコム,P-47,"￥5,200","￥5,000代",0,1,,,,,,,,
1989-03-23,-,3,RAC,パックインビデオ,F1PILOT,"￥6,300","￥6,500代",0,1,,,,,,,,
1989-03-23,-,2,A-PRG,ビクター音楽産業,死霊戦線,"￥5,500","￥5,500代",0,1,,,,,,,,
1989-03-28,-,2,SPT,メサイヤ,がんばれ!ゴルフボーイズ,"￥5,300","￥5,500代",0,1,,,,,,,,
1989-03-31,-,2,SHT,パックインビデオ,ディープブルー海底神話,"￥5,300","￥5,500代",0,1,,,,,,,,
1989-03-31,33,2,SHT,タイトー,究極タイガー,"￥5,500","￥5,500代",0,1,,,弓削雅稔|上村建也,,弓削雅稔|上村建也,,,
1989-04-01,-,2,RPG,データイースト,魔界八犬伝SHADA,"￥5,800","￥6,000代",0,1,,巌光生,T.OGAWA|T.SUZUKI|GUMON|K.KAMIMURA,M.RAI|T.ITO|巌光生,酒井省吾|岩崎正明|三浦孝史|濱田誠一|鈴木雄司|高濱祐輔,,,
1989-04-19,-,2,ACT,メサイヤ,エナジー,"￥5,200","￥5,000代",0,1,,,,,,,,
1989-04-21,-,2,ACT,ナムコ,ワンダーモモ,"￥6,800","￥7,000代",0,1,,,弓達公雄,,弓達公雄,,,
1989-04-27,-,4,RPG,ハドソン,凄ノ王伝説(Vol.17),"￥6,500","￥6,500代",0,1,,,,,,,,
1989-05-25,-,3,SPT,ハドソン,パワーゴルフ(Vol.18),"￥5,800","￥6,000代",0,1,,,,,,,,
1989-05-30,-,3,SPT,ナグザット,ナグザットオープン,"￥6,300","￥6,500代",0,1,,,,,,,,
