発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1988-10-29,31,3,SHT,セガ,スーパーサンダーブレード,"￥5,800","￥6,000代",0,MD,,,,,並木晃一,,,
1988-10-29,30,3,SHT,セガ,スペースハリアーII,"￥5,800","￥6,000代",0,MD,,,,,,,,
1988-11-27,-,3,ACT,セガ,獣王記,"￥5,800","￥6,000代",0,MD,,,穂苅健一(AC)|浅井敏典(MD)|松田達夫(MD)|百田浩司(MD),"内田誠(AC)|安原広和(AC)|NO NUKES(MD)|HAGA(AC)|梶本隆博(AC)|小玉理恵子(MD)|UDI(MD)",中林亨(AC)|長井和彦(MD),,,
1988-12-24,-,2,ACT,セガ,おそ松くんはちゃめちゃ劇場,"￥5,500","￥5,500代",0,MD,,,,,,,,
1989-02-10,-,2,ACT,セガ,アレックスキッド天空魔城,"￥5,500","￥5,500代",0,MD,,林田浩太郎,中裕司,林田浩太郎|安原広和|小玉理恵子|大島直人|湯田高志|小林陽子|山口恭史,鎌谷千佳子|上保徳彦|長井和彦,,,
1989-03-21,-,5,RPG,セガ,ファンタシースターII還らざる時の終わりに,"￥8,000","￥8,000代",11,MD,,青木千恵子,中裕司,小玉理恵子|大島直人|山口恭史|柴田和幸|米田仁士,上保徳彦,青木千恵子,中裕司,
1989-04-22,-,3,SPT,セガ,スーパーリーグ,"￥5,800","￥6,000代",0,MD,,,,,,,,
1989-04-29,31,3,SLG,セガ,スーパー大戦略,"￥6,800","￥7,000代",0,MD,,,,,,,,
1989-06-15,-,3,SHT,テクノソフト,サンダーフォースIIMD,"￥6,800","￥7,000代",0,MD,,,,,,,,
1989-07-01,-,3,ACT,セガ,北斗の拳新世紀末救世主伝説,"￥6,000","￥6,000代",0,MD,,,,,フランク・ワイルドホーン,高橋亜子,,
1989-07-29,-,2,SPT,セガ,ワールドカップサッカー,"￥5,500","￥5,500代",0,MD,,,,,,,,
