発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1994-11-22,36,"￥7,000代",FTG,セガ,バーチャファイター,-,98,0,,鈴木裕,池淵徹,石井精一,中村隆之,,鈴木裕,
1994-11-22,-,"￥8,000代",-,セガ,ワンチャイコネクション,-,1293,0,,藤田明,中杉功,西村伸明,遠藤浩二,ジェームス三木,佐々木啓|田村進一,
1994-11-22,-,"￥8,000代",-,サンソフト,ミスト,-,1294,0,,,,,,,,
1994-11-22,-,"￥6,000代",-,タイムワーナーインタラクティブ,TAMA,-,99,0,,,,,,,,
1994-11-22,-,-,-,エレクトロニック・アーツ,麻雀悟空天竺,-,1553,0,,,,,,,,
1994-12-02,-,-,-,セガ,ゲイルレーサー,-,1042,0,,,藤乗勝巳,小口久雄,長井和彦,,,
1994-12-02,30,-,ADV,セガ,真説・夢見館扉の奥に誰かが…,-,1295,0,,近藤智宏,,S.S.D.,S.S.D.,,石井洋児|菅野豊,
1994-12-09,-,-,-,セガ,クロックワークナイトペパルーチョの大冒険・上巻,-,100,0,,,,,,,,
1995-01-20,31,-,SPT,セガ,ビクトリーゴール,-,1077,0,,,,,,,,
1995-01-27,-,-,-,セガ,ゴータイスマイリア戦役,-,1143,0,,,,,,,,
1995-02-24,-,-,-,セガ,ペブルビーチゴルフリンクススタドラーに挑戦!,-,1078,0,,,,,,,,
1995-02-24,-,-,-,セガ,ランポRAMPO,-,1296,0,,,,,,,,
1995-02-24,-,-,-,ジャレコ,アイドル雀士スーチーパイスペシャル,-,1554,0,,,,,,,,
1995-02-24,-,-,-,サンソフト,上海万里の長城,-,1601,0,,,,,,,,
1995-03-03,-,-,-,サンソフト,ポポイっとへべれけ,-,1602,0,,,,,,,,
1995-03-10,30,-,SHT,セガ,パンツァードラグーン,-,101,0,,,,,,,,
1995-03-10,-,-,-,アスキー,麻雀巌流島,-,1555,0,,,,,,,,
1995-03-24,-,-,-,セガ,ダイダロス,-,1431,0,,,,,,,,
1995-03-25,-,-,-,コーエー,エミットVol.1時の迷子,-,1297,0,,,,,,,,
1995-03-31,-,-,-,データイースト,サイドポケット2伝説のハスラー,-,1603,0,,,,,,,,
1995-04-01,-,-,-,コーエー,エミットVol.2命がけの旅,-,1298,0,,,,,,,,
1995-04-01,-,-,-,コーエー,エミットVol.3私にさよならを,-,1299,0,,,,,,,,
1995-04-01,30,-,RAC,セガ,デイトナUSA,-,1043,0,,,,,,,,
1995-04-14,-,-,-,アスキー,柿木将棋,-,1540,0,,,,,,,,
1995-04-28,-,-,-,セガ,アイルトン・セナパーソナルトークMessageforthefuture,-,1604,0,,,,,,,,
