発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,売り上げ本数TOP50,ハード,対応,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2006-12-02,-,-,-,任天堂,"はじめてのWiiパック (Wiiリモコン同梱)",-,10552,290,,-,岡本基//,岡本基,,,田中しのぶ|永松亮,,江口勝也,
2006-12-02,38,"￥7,000代",ACT,任天堂,ゼルダの伝説トワイライトプリンセス,-,10553,55,,-,青沼英二/岩脇敏夫|森田和明/滝澤智|中野祐輔,青沼英二,岩脇敏夫|森田和明,滝澤智|中野祐輔,峰岸透|太田あすか|近藤浩治|横田真人|大島ミチル,,宮本茂,
2006-12-02,34,"￥6,000代",ACT,任天堂,おどるメイドインワリオ,-,10558,66,,-,阿部悟郎//,阿部悟郎,,,,,,
2006-12-02,31,"￥6,000代",-,セガ,スーパーモンキーボールウキウキパーティー大集合,-,10638,0,,-,,,,,,,,
2006-12-02,-,-,-,バンダイナムコ,たまごっちのピカピカだいとーりょー！,-,10693,0,,-,,,,,,,,
2006-12-02,33,"￥6,000代",ACT,バンダイナムコ,SDガンダムスカッドハンマーズ,-,10694,0,,-,"後藤 豪太//","後藤 豪太",,,,,横山武司|堀内美康,
2006-12-02,-,-,-,バンダイナムコ,縁日の達人,-,10695,0,,-,,,,,,,,
2006-12-02,-,-,-,ハドソン,ウィングアイランド,-,10782,0,,-,,,,,,,,
2006-12-02,-,-,-,ハドソン,コロリンパ,-,10791,0,,-,,,,,足立美奈子(ミュージックディレクター)|成田修(サウンドデザイナー),,,
2006-12-02,32,"￥6,000代",ACT,コナミ,エレビッツ,-,10820,0,,-,//土筆章人(イラスト),,,土筆章人(イラスト),,,,
2006-12-02,34,"￥7,000代",ACT,ユービーアイソフト,レッドスティール,-,10972,0,,-,,,,,,,,
2006-12-02,-,-,-,スパイク,ネクロネシア,-,11056,0,,-,,,,,,,,
2006-12-02,-,-,-,テクモ,スイングゴルフパンヤ,-,11074,0,,-,,,,,,,,
2006-12-02,32,"￥6,000代",ACT,アトラス,カドゥケウスZ2つの超執刀,-,11086,0,,-,,,,,,,,
2006-12-02,-,-,-,バンソフト,クレヨンしんちゃん最強家族カスカベキングうぃー,-,11115,0,,-,,,,,,,,
2006-12-02,30,"￥5,000代",SPT,任天堂,Wiiスポーツ,-,10551,379,,-,太田敬三(テニス)|嶋村隆行(ゴルフ・ボウリング)|山下善一(ベースボール・ボクシング)//,太田敬三(テニス)|嶋村隆行(ゴルフ・ボウリング)|山下善一(ベースボール・ボクシング),,,戸高一生,,江口勝也|水木潔,
2006-12-14,35,"￥6,000代",RPG,任天堂,ポケモンバトルレボリューション(ニンテンドーDS対応),-,10559,35,,-,,,,,,,,
2006-12-14,-,-,-,セガ,ブリーチWii白刃きらめく輪舞曲,-,10639,0,,-,,,,,,,,
2006-12-14,30,"￥6,000代",ACT,ユービーアイソフト,ラビッツ・パーティー,-,10976,0,,-,,,,,,,,
2006-12-21,-,-,-,エレクトロニック・アーツ,ニード・フォー・スピードカーボン,-,10928,0,,-,,,,,,,,
2006-12-21,-,-,-,ユービーアイソフト,モンスター4×4ワールドサーキット,-,10971,0,,-,,,,,,,,
2007-01-01,-,-,-,バンダイナムコ,ドラゴンボールZスパーキング！ネオ,-,10696,0,,-,,,,,,,,
2007-01-11,-,-,-,MTO,GTプロシリーズ(ステアリングアタッチメント同梱),-,11099,0,,-,,,,,,,,
2007-01-18,31,"￥6,000代",ACT,任天堂,エキサイトトラック,-,10560,0,,-,,,,,,,,
