☔降水量の合計(mm),🌡️平均気温(℃),💨平均風速(m/s),🧭最多風向(16方位),🏢都道府県,🏙️市区町村,⚪未使用1,⚪未使用2,☔降水量の合計(mm):Base,❄️降雪量合計(cm),💧平均湿度(％),☁️平均雲量(10分比),♨️平均蒸気圧(hPa),🔄平均現地気圧(hPa),☀️日照時間(時間),🌨️雪日数(日),⚡雷日数(日),🌫️霧日数(日)
1872-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1872-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1872-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1872-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1872-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1872-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1872-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1872-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1873-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1874-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1875-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1876-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1877-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1878-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1879-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1880-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1881-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1882-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1883-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1884-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1885-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1886-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1886-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1886-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1886-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
