☔降水量の合計(mm),🌡️平均気温(℃),💨平均風速(m/s),🧭最多風向(16方位),🏢都道府県,🏙️市区町村,❄️降雪量合計(cm),⚪未使用,☔降水量の合計(mm):Base,💧平均湿度(％),☁️平均雲量(10分比),♨️平均蒸気圧(hPa),🔄平均現地気圧(hPa),☀️日照時間(時間),🌨️雪日数(日),⚡雷日数(日),🌫️霧日数(日)
1986-05,18.9,2.9,⬆️北,福岡県,福岡市,0,0,240.0,73,6.4,15.7,1007.8,187.2,0,3,0
1986-06,22.9,2.8,⬆️北,福岡県,福岡市,0,0,220.5,76,7.6,21.3,1006.3,156.4,0,3,2
1986-07,25.6,2.5,⬆️北,福岡県,福岡市,0,0,400.0,80,7.4,26.4,1007.7,138.0,0,6,0
1986-08,27.8,2.8,➡️南東,福岡県,福岡市,0,0,70.5,69,5.1,25.8,1005.7,231.3,0,4,0
1986-09,23.7,2.4,⬆️北,福岡県,福岡市,0,0,190.5,74,6.8,21.8,1010.5,144.0,0,4,0
1986-10,17.0,2.9,⬆️北,福岡県,福岡市,0,0,45.0,68,5.8,13.4,1017.7,178.8,0,0,0
1986-11,12.6,2.2,➡️南東,福岡県,福岡市,0,0,30.0,68,6.0,10.0,1021.1,130.1,0,0,0
1986-12,9.6,2.9,➡️南東,福岡県,福岡市,0,0,94.5,69,6.7,8.2,1020.5,116.9,1,2,0
1987-01,7.3,3.5,➡️南東,福岡県,福岡市,2,0,52.0,66,6.6,6.9,1021.1,119.9,6,3,0
1987-02,7.9,3.6,➡️南東,福岡県,福岡市,2,0,47.5,66,6.6,7.3,1018.7,136.0,7,2,0
1987-03,9.7,3.0,⬆️北北西,福岡県,福岡市,10,0,174.5,73,7.1,9.1,1015.0,119.2,4,0,1
1987-04,14.4,2.9,⬆️北,福岡県,福岡市,0,0,77.0,69,6.6,11.5,1015.4,174.9,0,1,0
1987-05,19.0,2.7,⬆️北,福岡県,福岡市,0,0,133.5,69,6.8,15.4,1012.2,202.8,0,0,1
1987-06,22.5,3.1,⬆️北,福岡県,福岡市,0,0,278.0,75,6.9,20.2,1007.2,198.5,0,1,2
1987-07,26.8,2.8,➡️南東,福岡県,福岡市,0,0,444.0,79,8.3,27.6,1005.9,136.3,0,3,0
